codigo_nacional;codigo_agroclima;ID;estacion;categoria;lat;long;altitud;comuna;region;anio_creacion;Nota
520031;;INIA-219;Estancia 5 de Enero;INIA;-52.432499;-70.360555;113;San Gregorio;Magallanes;2017;
530029;;INIA-222;Estancia Zenia;INIA;-53.319443;-69.698055;151;Porvenir;Magallanes;2017;
520012;;EXT-92;Instituto de la Patagonia;DMC;-53.129999;-70.887499;11;Punta Arenas;Magallanes;1953;
530010;;INIA-103;Isla Riesco;INIA;-53.030554;-71.93361;68;Río Verde;Magallanes;2012;
520011;;INIA-37;Kampenaike;INIA;-52.611944;-70.943333;6;Laguna Blanca;Magallanes;1977;
540008;;EXT-115;Pampa Guanaco;DMC;-54.050833;-68.803888;150;Timaukel;Magallanes;2017;
510004;;INIA-35;Puerto Natales;INIA;-51.724166;-72.510555;7;Natales;Magallanes;1983;
530011;;INIA-82;Punta Arenas Rural;INIA;-53.068332;-70.873888;50;Punta Arenas;Magallanes;2011;
510020;;EXT-956;Río Serrano;DMC;-51.21667;-72.97028;22;Torres del Paine;Magallanes;2022;
520027;;INIA-83;Tierra del Fuego;INIA;-52.805555;-69.27361;58;Primavera;Magallanes;2011;
520014;;EXT-93;Unidad Aeropolicial;DMC;-53.152777;-70.926388;53;Punta Arenas;Magallanes;2013;
520015;;EXT-94;Villa Tehuelche;DMC;-52.428888;-71.416111;176;Laguna Blanca;Magallanes;2016;
